[2024-03-01 08:15:33] ACCES_PORTE | Utilisateur: ONEILL | Badge: SGC-0001 | Periode: JOUR
[2024-03-05 09:30:00] ACCES_PORTE | Utilisateur: MITCHELL | Badge: SGC-0005 | Periode: JOUR
[2024-03-05 10:22:18] ACCES_PORTE | Utilisateur: FERRETTI | Badge: SGC-0050 | Periode: JOUR
[2024-03-05 11:00:00] ACCES_PORTE | Utilisateur: GRIFF | Badge: SGC-0010 | Periode: JOUR
[2024-03-05 14:00:00] ACCES_PORTE | Utilisateur: MAKEPEACE | Badge: SGC-0042 | Periode: JOUR
[2024-03-05 15:30:00] ACCES_PORTE | Utilisateur: BOSCO | Badge: SGC-0043 | Periode: JOUR
[2024-03-06 08:00:00] ACCES_PORTE | Utilisateur: HARRIMAN | Badge: SGC-0200 | Periode: JOUR
[2024-03-06 08:20:00] ACCES_PORTE | Utilisateur: ONEILL | Badge: SGC-0001 | Periode: JOUR
[2024-03-06 09:00:00] ACCES_PORTE | Utilisateur: TEALC | Badge: SGC-0004 | Periode: JOUR
[2024-03-06 09:30:00] ACCES_PORTE | Utilisateur: JACKSON | Badge: SGC-0003 | Periode: JOUR
[2024-03-06 10:15:00] ACCES_PORTE | Utilisateur: CARTER | Badge: SGC-0002 | Periode: JOUR
[2024-03-06 11:00:00] ACCES_PORTE | Utilisateur: DAVIS | Badge: SGC-0400 | Periode: JOUR
[2024-03-06 14:45:00] ACCES_PORTE | Utilisateur: JOHNSON | Badge: SGC-0044 | Periode: JOUR
[2024-03-06 23:55:33] ACCES_PORTE | Utilisateur: MAKEPEACE | Badge: SGC-0042 | Periode: NUIT
[2024-03-07 08:00:00] ACCES_PORTE | Utilisateur: ONEILL | Badge: SGC-0001 | Periode: JOUR
[2024-03-07 08:30:00] ACCES_PORTE | Utilisateur: CARTER | Badge: SGC-0002 | Periode: JOUR
[2024-03-07 09:15:00] ACCES_PORTE | Utilisateur: MAKEPEACE | Badge: SGC-0042 | Periode: JOUR
[2024-03-07 09:45:00] ACCES_PORTE | Utilisateur: GRIFF | Badge: SGC-0010 | Periode: JOUR
[2024-03-07 10:30:00] ACCES_PORTE | Utilisateur: PIERCE | Badge: SGC-0011 | Periode: JOUR
[2024-03-07 11:00:00] ACCES_PORTE | Utilisateur: FERRETTI | Badge: SGC-0050 | Periode: JOUR
[2024-03-07 14:00:00] ACCES_PORTE | Utilisateur: REYNOLDS | Badge: SGC-0060 | Periode: JOUR
[2024-03-07 21:10:44] ACCES_PORTE | Utilisateur: ONEILL | Badge: SGC-0001 | Periode: NUIT
[2024-03-08 02:17:55] ACCES_PORTE | Utilisateur: MAKEPEACE | Badge: SGC-0042 | Periode: NUIT
[2024-03-08 08:00:00] ACCES_PORTE | Utilisateur: HARRIMAN | Badge: SGC-0200 | Periode: JOUR
[2024-03-08 08:30:00] ACCES_PORTE | Utilisateur: ONEILL | Badge: SGC-0001 | Periode: JOUR
[2024-03-08 09:00:00] ACCES_PORTE | Utilisateur: TEALC | Badge: SGC-0004 | Periode: JOUR
[2024-03-08 09:30:00] ACCES_PORTE | Utilisateur: JACKSON | Badge: SGC-0003 | Periode: JOUR
[2024-03-08 10:00:00] ACCES_PORTE | Utilisateur: CARTER | Badge: SGC-0002 | Periode: JOUR
[2024-03-08 10:45:00] ACCES_PORTE | Utilisateur: MITCHELL | Badge: SGC-0005 | Periode: JOUR
[2024-03-08 14:30:00] ACCES_PORTE | Utilisateur: BOSCO | Badge: SGC-0043 | Periode: JOUR
[2024-03-09 08:15:00] ACCES_PORTE | Utilisateur: ONEILL | Badge: SGC-0001 | Periode: JOUR
[2024-03-09 08:30:00] ACCES_PORTE | Utilisateur: CARTER | Badge: SGC-0002 | Periode: JOUR
[2024-03-09 09:00:00] ACCES_PORTE | Utilisateur: GRIFF | Badge: SGC-0010 | Periode: JOUR
[2024-03-09 09:30:00] ACCES_PORTE | Utilisateur: WARREN | Badge: SGC-0012 | Periode: JOUR
[2024-03-09 10:00:00] ACCES_PORTE | Utilisateur: FERRETTI | Badge: SGC-0050 | Periode: JOUR
[2024-03-09 14:15:00] ACCES_PORTE | Utilisateur: MAKEPEACE | Badge: SGC-0042 | Periode: JOUR
[2024-03-10 00:42:18] ACCES_PORTE | Utilisateur: MAKEPEACE | Badge: SGC-0042 | Periode: NUIT
[2024-03-10 08:00:00] ACCES_PORTE | Utilisateur: HARRIMAN | Badge: SGC-0200 | Periode: JOUR
[2024-03-10 08:30:00] ACCES_PORTE | Utilisateur: ONEILL | Badge: SGC-0001 | Periode: JOUR
[2024-03-10 09:00:00] ACCES_PORTE | Utilisateur: JACKSON | Badge: SGC-0003 | Periode: JOUR
[2024-03-10 09:30:00] ACCES_PORTE | Utilisateur: TEALC | Badge: SGC-0004 | Periode: JOUR
[2024-03-10 10:00:00] ACCES_PORTE | Utilisateur: CARTER | Badge: SGC-0002 | Periode: JOUR
[2024-03-10 11:00:00] ACCES_PORTE | Utilisateur: DAVIS | Badge: SGC-0400 | Periode: JOUR
[2024-03-11 08:00:00] ACCES_PORTE | Utilisateur: ONEILL | Badge: SGC-0001 | Periode: JOUR
[2024-03-11 08:15:00] ACCES_PORTE | Utilisateur: CARTER | Badge: SGC-0002 | Periode: JOUR
[2024-03-11 09:00:00] ACCES_PORTE | Utilisateur: REYNOLDS | Badge: SGC-0060 | Periode: JOUR
[2024-03-11 09:30:00] ACCES_PORTE | Utilisateur: MITCHELL | Badge: SGC-0005 | Periode: JOUR
[2024-03-11 10:30:00] ACCES_PORTE | Utilisateur: MAKEPEACE | Badge: SGC-0042 | Periode: JOUR
[2024-03-11 14:00:00] ACCES_PORTE | Utilisateur: JOHNSON | Badge: SGC-0044 | Periode: JOUR
[2024-03-11 22:30:00] ACCES_PORTE | Utilisateur: TEALC | Badge: SGC-0004 | Periode: NUIT
[2024-03-12 02:05:33] ACCES_PORTE | Utilisateur: MAKEPEACE | Badge: SGC-0042 | Periode: NUIT
[2024-03-12 08:00:00] ACCES_PORTE | Utilisateur: HARRIMAN | Badge: SGC-0200 | Periode: JOUR
[2024-03-12 08:30:00] ACCES_PORTE | Utilisateur: ONEILL | Badge: SGC-0001 | Periode: JOUR
[2024-03-12 09:00:00] ACCES_PORTE | Utilisateur: GRIFF | Badge: SGC-0010 | Periode: JOUR
[2024-03-12 09:30:00] ACCES_PORTE | Utilisateur: PIERCE | Badge: SGC-0011 | Periode: JOUR
[2024-03-12 10:00:00] ACCES_PORTE | Utilisateur: CARTER | Badge: SGC-0002 | Periode: JOUR
[2024-03-12 14:00:00] ACCES_PORTE | Utilisateur: FERRETTI | Badge: SGC-0050 | Periode: JOUR
[2024-03-13 08:00:00] ACCES_PORTE | Utilisateur: ONEILL | Badge: SGC-0001 | Periode: JOUR
[2024-03-13 08:30:00] ACCES_PORTE | Utilisateur: TEALC | Badge: SGC-0004 | Periode: JOUR
[2024-03-13 09:00:00] ACCES_PORTE | Utilisateur: JACKSON | Badge: SGC-0003 | Periode: JOUR
[2024-03-13 09:30:00] ACCES_PORTE | Utilisateur: CARTER | Badge: SGC-0002 | Periode: JOUR
[2024-03-13 10:00:00] ACCES_PORTE | Utilisateur: MAKEPEACE | Badge: SGC-0042 | Periode: JOUR
[2024-03-13 11:00:00] ACCES_PORTE | Utilisateur: BOSCO | Badge: SGC-0043 | Periode: JOUR
[2024-03-13 23:40:12] ACCES_PORTE | Utilisateur: MAKEPEACE | Badge: SGC-0042 | Periode: NUIT
[2024-03-14 08:00:00] ACCES_PORTE | Utilisateur: HARRIMAN | Badge: SGC-0200 | Periode: JOUR
[2024-03-14 08:30:00] ACCES_PORTE | Utilisateur: ONEILL | Badge: SGC-0001 | Periode: JOUR
[2024-03-14 09:00:00] ACCES_PORTE | Utilisateur: CARTER | Badge: SGC-0002 | Periode: JOUR
[2024-03-14 09:30:00] ACCES_PORTE | Utilisateur: MITCHELL | Badge: SGC-0005 | Periode: JOUR
[2024-03-14 10:00:00] ACCES_PORTE | Utilisateur: REYNOLDS | Badge: SGC-0060 | Periode: JOUR
[2024-03-14 10:30:00] ACCES_PORTE | Utilisateur: GRIFF | Badge: SGC-0010 | Periode: JOUR
[2024-03-14 14:00:00] ACCES_PORTE | Utilisateur: DAVIS | Badge: SGC-0400 | Periode: JOUR
[2024-03-15 01:12:07] ACCES_PORTE | Utilisateur: MAKEPEACE | Badge: SGC-0042 | Periode: NUIT
[2024-03-15 03:17:22] ACCES_PORTE | Utilisateur: MAKEPEACE | Badge: SGC-0042 | Periode: NUIT
[2024-03-15 08:00:00] ACCES_PORTE | Utilisateur: HARRIMAN | Badge: SGC-0200 | Periode: JOUR
[2024-03-15 08:30:00] ACCES_PORTE | Utilisateur: ONEILL | Badge: SGC-0001 | Periode: JOUR
[2024-03-15 09:00:00] ACCES_PORTE | Utilisateur: TEALC | Badge: SGC-0004 | Periode: JOUR
[2024-03-15 09:30:00] ACCES_PORTE | Utilisateur: JACKSON | Badge: SGC-0003 | Periode: JOUR
[2024-03-15 10:00:00] ACCES_PORTE | Utilisateur: CARTER | Badge: SGC-0002 | Periode: JOUR
[2024-03-16 08:00:00] ACCES_PORTE | Utilisateur: ONEILL | Badge: SGC-0001 | Periode: JOUR
[2024-03-16 08:30:00] ACCES_PORTE | Utilisateur: CARTER | Badge: SGC-0002 | Periode: JOUR
[2024-03-16 09:00:00] ACCES_PORTE | Utilisateur: FERRETTI | Badge: SGC-0050 | Periode: JOUR
[2024-03-16 10:00:00] ACCES_PORTE | Utilisateur: GRIFF | Badge: SGC-0010 | Periode: JOUR
[2024-03-16 23:05:44] ACCES_PORTE | Utilisateur: MAKEPEACE | Badge: SGC-0042 | Periode: NUIT
[2024-03-17 08:00:00] ACCES_PORTE | Utilisateur: HARRIMAN | Badge: SGC-0200 | Periode: JOUR
[2024-03-17 08:30:00] ACCES_PORTE | Utilisateur: ONEILL | Badge: SGC-0001 | Periode: JOUR
[2024-03-17 09:00:00] ACCES_PORTE | Utilisateur: JACKSON | Badge: SGC-0003 | Periode: JOUR
[2024-03-17 09:30:00] ACCES_PORTE | Utilisateur: TEALC | Badge: SGC-0004 | Periode: JOUR
[2024-03-17 10:00:00] ACCES_PORTE | Utilisateur: MAKEPEACE | Badge: SGC-0042 | Periode: JOUR
[2024-03-18 08:00:00] ACCES_PORTE | Utilisateur: ONEILL | Badge: SGC-0001 | Periode: JOUR
[2024-03-18 08:30:00] ACCES_PORTE | Utilisateur: CARTER | Badge: SGC-0002 | Periode: JOUR
[2024-03-18 09:00:00] ACCES_PORTE | Utilisateur: MITCHELL | Badge: SGC-0005 | Periode: JOUR
[2024-03-18 10:00:00] ACCES_PORTE | Utilisateur: REYNOLDS | Badge: SGC-0060 | Periode: JOUR
[2024-03-18 14:00:00] ACCES_PORTE | Utilisateur: WARREN | Badge: SGC-0012 | Periode: JOUR
[2024-03-19 02:48:33] ACCES_PORTE | Utilisateur: MAKEPEACE | Badge: SGC-0042 | Periode: NUIT
[2024-03-19 08:00:00] ACCES_PORTE | Utilisateur: HARRIMAN | Badge: SGC-0200 | Periode: JOUR
[2024-03-19 08:30:00] ACCES_PORTE | Utilisateur: ONEILL | Badge: SGC-0001 | Periode: JOUR
[2024-03-19 09:00:00] ACCES_PORTE | Utilisateur: CARTER | Badge: SGC-0002 | Periode: JOUR
[2024-03-19 09:30:00] ACCES_PORTE | Utilisateur: TEALC | Badge: SGC-0004 | Periode: JOUR
[2024-03-19 10:00:00] ACCES_PORTE | Utilisateur: JACKSON | Badge: SGC-0003 | Periode: JOUR
[2024-03-19 14:00:00] ACCES_PORTE | Utilisateur: BOSCO | Badge: SGC-0043 | Periode: JOUR
[2024-03-20 08:00:00] ACCES_PORTE | Utilisateur: ONEILL | Badge: SGC-0001 | Periode: JOUR
[2024-03-20 08:30:00] ACCES_PORTE | Utilisateur: CARTER | Badge: SGC-0002 | Periode: JOUR
[2024-03-20 09:00:00] ACCES_PORTE | Utilisateur: GRIFF | Badge: SGC-0010 | Periode: JOUR
[2024-03-20 09:30:00] ACCES_PORTE | Utilisateur: FERRETTI | Badge: SGC-0050 | Periode: JOUR
[2024-03-20 10:00:00] ACCES_PORTE | Utilisateur: MAKEPEACE | Badge: SGC-0042 | Periode: JOUR
[2024-03-20 14:00:00] ACCES_PORTE | Utilisateur: DAVIS | Badge: SGC-0400 | Periode: JOUR
[2024-03-20 15:00:00] ACCES_PORTE | Utilisateur: PIERCE | Badge: SGC-0011 | Periode: JOUR
